Date,AAPL,ABBV,ABT,ACN,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BLK,BMY,BRK-B,C,CAT,CELG,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,DWDP,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NEE,NKE,ORCL,OXY,PCLN,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
2010-01-04,27.406532000000002,,21.194162,35.052402,39.233837,23.243692000000003,25.586843,50.156246,133.899994,36.285903999999995,45.936901,14.748053,53.639998999999996,24.456685999999998,194.38018799999998,19.778181,66.220001,32.984215,46.796478,27.870001000000002,,34.364940999999995,7.133089,35.173256,29.767963,47.057460999999996,20.399059,29.056219,58.85416800000001,18.846860999999997,28.954742,35.187172,27.198351000000002,33.91787,34.347488,8.100866,,79.40014599999999,13.338121,11.374052,57.188796999999994,11.955239,20.457756,,311.34997599999997,313.68869,156.376083,28.241209,23.890331,33.407608,108.093323,16.104221,50.537102000000004,35.537781,,,22.554413,26.465942,58.285488,20.03978,24.696486,49.222229,15.2157,36.842464,26.125193,68.011421,13.556103,72.3395,27.891104,27.785991999999997,25.148876,40.737709,14.664229999999998,22.627089,62.564083,223.960007,48.830376,14.069342,47.483036,35.784657,,38.947319,41.939602,10.210918,57.472496,22.940454000000003,57.47781,18.593122,39.064388,23.669123000000003,21.445764999999998,28.050224,27.78953,46.125214,19.436718,59.234443999999996,18.397221,21.143955,31.539467,22.523083,44.424107,54.6217
2010-01-05,27.453915000000002,,21.022924,35.269032,38.84433,22.808218,26.00754,49.721764,134.690002,36.206097,47.441433,15.227435999999999,53.380001,24.716038,195.219345,19.469514999999998,66.540001,34.24538,47.355968,27.545,35.0,34.642841,7.0364130000000005,36.560371,29.796265000000002,46.914875,20.308167,28.941683,59.271069,18.824286999999998,28.882519,34.606613,28.410065000000003,33.972637,33.785339,8.636724000000001,,80.437256,13.280876999999998,11.406713,57.279713,12.017141,20.438856,,309.978882,312.307312,159.14080800000002,28.602705,24.065325,33.473843,106.787575,16.096504,49.951118,36.226124,,,22.281579999999998,26.000467,58.89225,19.832121,24.623404,48.845901,15.959014999999999,37.597771,26.729738,67.585449,13.562951000000002,73.934914,28.004143,28.801786,25.157001,40.339893,14.722575,22.599768,62.112373,226.559998,49.420425,13.868670000000002,47.498581,35.472862,,39.884918,41.329113,10.450134,57.635201,22.478195,57.08453000000001,18.502045000000003,39.209213,23.403624,21.322088,28.005745,28.176256,46.204498,19.929434,58.349625,18.186405,21.182079,31.285799,23.141388,43.981753999999995,54.834965000000004
2010-01-06,27.017222999999998,,21.139675,35.643974,38.970917,22.66046,26.015954999999998,49.348106,132.25,36.791367,48.880531,15.406029,53.43,24.344303,191.19456499999998,19.4618,66.199997,35.312511,47.499821000000004,28.195,35.0,34.564037,6.985972,36.758526,30.011409999999998,47.524799,20.17598,28.686188,59.278488,18.859404,28.729028999999997,34.731018,28.913393,34.277778999999995,33.989113,8.959811,,79.77121700000001,13.477147,11.594512,57.230121999999994,11.955239,21.147551999999997,,302.164703,304.434448,157.442261,29.280495000000002,23.981998,33.473843,106.09388,16.042514999999998,50.357391,36.425182,,,22.273670000000003,26.192567999999998,58.027626,19.884031,24.587803,48.17947,16.069952,38.217449,27.003231,68.5439,13.761603,75.035187,28.380955,29.170345,25.002610999999998,40.737709,14.632813,22.271969,62.857718999999996,219.080002,48.926056,13.824082,47.273284999999994,35.472862,,39.49493,40.750735999999996,10.374825999999999,58.919804000000006,22.795565,56.443615,18.231319,39.957516,23.347301,21.165426,28.281532000000002,28.218760999999997,45.863583,20.141807999999997,58.043648,17.942194,20.573014999999998,31.049046999999998,23.174374,43.88345,55.308914
2010-01-07,26.967278000000004,,21.3148,35.610645,38.659306,22.224985,26.150579,48.896252000000004,130.0,37.388069,50.85931,15.913613,52.990002000000004,25.373056,193.29657,19.477234,66.459999,35.409515,47.691646999999996,27.945,35.0,34.427162,7.133089,38.577995,29.892509000000004,47.295086,20.266859,29.74342,59.055172,19.014891,28.738056,34.896889,28.932037,34.277778999999995,34.10154,9.188335,,78.905365,13.370834,11.431208,57.39543199999999,12.574278999999999,21.199522,,295.13046299999996,297.347351,160.523148,29.352793,24.265314,34.119637,105.726646,15.888257000000001,49.99799,37.146706,,,22.218313000000002,26.059573999999998,56.434929000000004,20.455116,24.42713,48.532284000000004,16.031124,38.571552000000004,27.384676000000002,68.593048,13.741048999999999,74.76553299999999,28.426165,29.592841999999997,24.742592000000002,40.622952000000005,14.776426,22.199129,62.390915,216.13000499999998,48.615089000000005,13.772054,47.016914,35.915184,,40.639957,41.248771999999995,10.348247,59.527836,22.698973000000002,57.179207,18.026619,40.44833,23.105944,21.231392,29.366892,27.968023,45.514767,20.532579000000002,58.291740000000004,18.109184,20.450557999999997,31.235058000000002,24.015276,43.908028,55.13513199999999
2010-01-08,27.146565999999996,,21.423773,35.469002,38.376903999999996,22.815992,26.259966,49.330727,133.520004,37.361362,50.368706,15.772615,54.080002,25.528666,194.657135,19.153124,66.440002,34.827453999999996,48.227146000000005,28.635,33.5,33.809128,7.112072,38.244724,30.152939,46.954494,20.374266,29.95487,59.159386,19.280727,28.783205,34.917633,29.034565,34.473392,33.939934,9.21198,,80.86541700000001,13.428079,11.529191,57.39543199999999,12.84511,21.04361,,299.06487999999996,301.31131,157.487411,30.83489,24.148654999999998,34.873062,106.787575,16.065655,50.169884,37.055485,,,21.807083,25.860086,57.345046999999994,20.411856,24.435793,48.485248999999996,16.047766,38.773895,27.528612,69.076401,13.775301,75.365677,28.411098,28.990557,24.913232999999998,40.271046000000005,14.747260999999998,22.472285999999997,63.030876,216.210007,48.455612,13.883541000000001,46.954758,35.719402,,41.046524,42.132389,10.312807000000001,60.504143000000006,22.650679,55.810001,17.894554,40.287395000000004,23.138128,21.717855,29.091105,28.91573,47.7029,20.566551,58.407513,18.159275,20.463448,31.277355,23.792685000000002,43.686840000000004,54.91396700000001
2010-01-11,26.907093,,21.532736,35.435677,38.727470000000004,23.041506,26.259966,49.54797,130.309998,36.933857,49.771805,15.913613,53.900002,25.087770000000003,197.826492,19.353758,66.5,35.215503999999996,51.256336,28.635,33.5,33.659797999999995,7.065836,37.560173,30.328445000000002,47.009941,20.316426999999997,29.893185,60.209019,19.498911,28.313715000000002,35.270126,28.671049,34.997603999999995,34.333439,9.542947,,83.015732,13.468967000000001,11.496531,58.461684999999996,12.968919999999999,21.208973,,298.612823,300.855865,155.002838,30.527628000000004,23.465359,35.311882000000004,105.66950200000001,16.158215,50.177696000000005,36.931076000000004,,,22.249945,26.214740999999997,57.618065,20.238796,24.033621,48.861588,15.975655999999999,38.622139000000004,27.708538,68.797844,13.878053,73.939301,28.524128,28.801786,24.596332999999998,40.24044,14.565498999999999,22.48139,62.458702,218.91000400000001,48.399792,13.995019000000001,46.768318,35.849918,,40.897175,42.5742,10.281796,60.504143000000006,22.947346,55.860985,17.80871,40.375912,23.467979,21.437525,29.286821000000003,28.724489000000002,49.803822,20.660009,59.67275600000001,18.10709,20.547237,31.328084999999998,23.743217,44.407722,55.530071
2010-01-12,26.601022999999998,,21.470472,35.210705,38.678779999999996,22.131662,26.234718,48.687706,127.349998,37.423706,49.412017999999996,15.377831,53.25,25.131001,194.29054299999999,19.145412,66.0,34.148373,49.74575,28.495001000000002,33.5,33.464844,6.939736,37.704281,29.683042999999998,46.756477000000004,19.994211,29.567225,59.859161,19.228064,27.826168,35.311592,28.764259000000003,34.809837,34.48101,9.353823,,82.37825,12.994652,10.982126,58.106266000000005,12.976659,21.237322,,293.332153,295.535522,151.623825,30.084801000000002,23.315367000000002,34.914471,106.51008600000002,15.895976999999998,50.443352000000004,36.068562,,,22.49115,26.126076,57.610477,20.18688,24.020159,49.128151,16.247463,38.209022999999995,27.715734,68.855202,13.802698000000001,72.46064799999999,28.298053999999997,27.983749,24.433821,39.261210999999996,14.545301,22.363026,60.350639,213.979996,49.077545,13.950428,47.304363,35.654144,,40.233398,42.5742,10.109034,59.596336,22.802464,54.76125,17.802108999999998,39.700027,22.928957,20.538794,28.512836,28.639496,49.470844,20.651512,59.32543199999999,18.021511,20.566568,31.065946999999998,23.14963,44.833702,55.25360500000001
2010-01-13,26.976244,,21.67432,35.610645,39.818115,22.598251,26.470306,49.122189,129.110001,37.539482,50.008926,15.622222,54.080002,25.321192,195.06456,19.284311,66.0,33.954346,49.817679999999996,28.84,32.75,33.622471000000004,7.049022,37.93848,29.869867,47.049545,20.357748,29.928434000000003,59.405071,19.275710999999998,28.250515000000004,35.394535,28.66173,34.833294,34.895592,9.204099000000001,,81.655136,12.921052,10.89231,59.061962,13.023086,21.5019,,291.648102,293.838837,152.753189,30.771634999999996,23.440359,35.038651,106.28157,16.165922,50.763702,36.698864,,,22.550461,26.488113000000002,58.30825,20.091694,24.644569,49.073277000000004,16.214184,38.428234,27.291107,68.63401800000001,13.86435,73.017296,29.338034000000004,28.100613,24.661339,39.398911,14.675451,22.581557999999998,59.951599,214.30000299999998,49.476234000000005,14.277454999999998,47.793803999999994,36.016697,,40.407639,43.168628999999996,10.357104,60.675404,23.126732,55.314762,17.590809,39.700027,23.347301,20.62949,28.948757,28.673494,49.209225,20.991314000000003,60.00354399999999,18.188494,20.540789,31.35346,23.561846,45.063065,55.032436
2010-01-14,26.820007,,21.697838,35.927254,40.022597999999995,22.240536,26.621763,48.800667,127.349998,38.011509000000004,50.335999,15.810215,54.360001000000004,25.286606,193.82614099999998,19.330612,65.959999,34.051338,49.537929999999996,29.065001000000002,32.75,33.357002,7.006989,37.533146,29.994417,46.510929,20.613867000000003,29.910805,59.218945,19.355963,28.006740999999998,35.394535,28.456673,35.161910999999996,34.488033,9.267142,,82.10234100000001,12.945587,10.97396,59.086884,12.922489,21.478279,,293.019196,295.220215,152.26525900000001,31.006601,23.582017999999998,35.245647,107.97906499999999,16.566979999999997,50.86528,37.063782,,,22.590004,26.598941999999997,58.277908,20.065742,25.061169,49.120327,16.153164,38.765461,27.5502,68.40460999999999,13.960249,72.00836899999999,30.136862,28.046678999999997,25.157001,38.259026,14.583447,23.119869,60.4184,208.770004,50.074245,14.403799,47.840412,35.965953999999996,,40.133827000000004,43.690773,10.432414999999999,61.052204,23.071541,55.562374,17.293669,40.311543,23.162266,20.373884,29.642668,28.210259999999998,49.312286,21.518010999999998,60.210269999999994,18.251114,20.121857000000002,31.378815000000003,23.899851,44.407722,55.040321
2010-01-15,26.371792,,21.75272,35.668976,39.82785,21.820610000000002,26.00754,48.878864,127.139999,37.753227,49.730923,15.283833,54.18,25.096420000000002,193.980942,19.346042999999998,64.940002,33.178242,48.379146999999996,28.76,32.25,33.182796,6.990175,37.046764,30.017063,46.566371999999994,20.159451,29.875572,58.980736,19.1127,27.627540999999997,35.042049,27.953344,34.676807000000004,34.150742,9.141055999999999,,80.979599,12.700246,10.769832000000001,58.679672,12.721302,21.506626,,288.12600699999996,290.290283,149.265671,30.753542,23.807005,35.295326,107.54653200000001,16.042514999999998,50.443352000000004,36.226124,,,22.257858,26.465942,58.217224,20.091797,25.269941,48.830223,16.408329000000002,38.453522,27.240732,68.298149,13.98765,70.59063,29.744985999999997,27.309549,25.075747,38.672142,14.448812,23.028631,59.41706800000001,208.770004,49.667590999999994,14.485555999999999,47.249981,35.980446,,40.26659,43.36142,10.308378999999999,60.658264,23.002548,54.542763,17.029541000000002,40.367855,22.65542,20.200737,30.025215000000003,27.866028000000004,49.098228000000006,20.914862,59.532162,17.979767000000002,19.70936,30.947569,23.14963,43.973557,54.590084
